,UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,FILTER12,FILTER13,FILTER14,pub,year
1653,138284001,Florida Panhandle Technical College,Florida Panhandle Technical College,757 Hoyt Street,Chipley,FL,32428,4,"Public, 1",85,125,210,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1654,138293001,Webber International University,Main Campus,1201 N SCENIC HWY,BABSON PARK,FL,338270096,2,"Private nonprofit, 2",487,245,732,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1660,138354001,The University of West Florida,Main Campus,11000 UNIVERSITY PKWY,Pensacola,FL,325145750,1,"Public, 2",5176,7426,12602,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1661,138354002,The University of West Florida,"University of West Florida, Ft Walton Beach",1170 Martin Luther King Jr. Blvd,Ft. Walton Beach,FL,32547,1,"Public, 2",5176,7426,12602,0,0,0,0,0,0,0,1,0,1,1,1,1,2
1667,138558001,Abraham Baldwin Agricultural College,Main Campus,2802 MOORE HWY,TIFTON,GA,317942601,1,"Public, 2",1636,1822,3458,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1673,138691001,Darton State College,Darton State College,2400 GILLIONVILLE RD,ALBANY,GA,317073098,1,"Public, 2",1606,4017,5623,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1677,138813001,The Art Institute of Atlanta,The Art Institute of Atlanta,"6600 PEACHTREE DUNWOODY RD, 100 EMBASSY ROW",ATLANTA,GA,303281635,3,"Private for-profit, 2",1486,1137,2623,2,20,2,0,0,0,0,0,0,1,1,1,3,2
1678,138813002,The Art Institute of Atlanta,The Art Institute of Atlanta- Decatur,"One West Court Square, Suite 110",Decatur,GA,300302538,3,"Private for-profit, 2",1486,1137,2623,0,0,0,0,0,0,0,0,0,1,1,1,3,2
1686,138947001,Clark Atlanta University,Clark Atlanta University,"223 James P. Brawley Drive, SW",Atlanta,GA,303144391,2,"Private nonprofit, 2",912,2573,3485,0,5,3,0,2,1,0,2,0,1,1,1,2,2
1722,139384001,Georgia Northwestern Technical College,Main Campus,ONE MAURICE CULBERSON DR,ROME,GA,30161,4,"Public, 1",2104,3712,5816,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1737,139658001,Emory University,Main Campus,201 Dowman Drive,ATLANTA,GA,30322,2,"Private nonprofit, 2",6420,8349,14769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1738,139658002,Emory University,Oxford College Campus,810 Whatcoat Street,Oxford,GA,30054,2,"Private nonprofit, 2",6420,8349,14769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1739,139658003,Emory University,Emory University Hospital Midtown Campus,"550 Peachtree Street, N. E.",Atlanta,GA,30308,2,"Private nonprofit, 2",6420,8349,14769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1740,139658004,Emory University,Carter Center Campus,453 Freedom Parkway,Atlanta,GA,30307,2,"Private nonprofit, 2",6420,8349,14769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1741,139658005,Emory University,Emory University Grady Area Campus,"80 Jessie Hill Jr. Drive, S. E.",Atlanta,GA,30303,2,"Private nonprofit, 2",6420,8349,14769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1750,139719001,Fort Valley State University,FORT VALLEY STATE UNIVERSITY,1005 STATE UNIVERSITY DR,FT VALLEY,GA,310304313,1,"Public, 2",987,1607,2594,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1751,139746001,Grady Health System Professional Schools,Main Campus,"80 Jesse Hill Jr Drive, SE",ATLANTA,GA,303033050,4,"Public, 1",16,44,60,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1752,139755001,Georgia Institute of Technology-Main Campus,Main Campus,225 NORTH AVE,ATLANTA,GA,30332,1,"Public, 2",16140,6969,23109,0,0,8,0,0,1,0,1,0,1,1,1,1,2
1755,139861001,Georgia College and State University,Milledgeville Main Campus,231 W HANCOCK ST,MILLEDGEVILLE,GA,31061,1,"Public, 2",2622,4150,6772,0,0,1,0,0,2,0,0,1,1,1,1,1,2
1760,139931001,Georgia Southern University,Main Campus,HWY 301 S,STATESBORO,GA,30460,1,"Public, 2",9801,10716,20517,0,0,2,0,0,1,0,3,5,1,1,1,1,2
1761,139940001,Georgia State University,Main Campus,PO Box 3965,ATLANTA,GA,303023965,1,"Public, 2",13348,19208,32556,0,1,4,1,6,2,0,16,19,1,1,1,1,2
1763,139959001,University of Georgia,Main Campus,The University of Georgia,ATHENS,GA,30602,1,"Public, 2",14921,20276,35197,0,0,0,1,0,3,3,0,0,1,1,1,1,2
1764,139968001,Gordon State College,Main Campus,419 COLLEGE DR,BARNESVILLE,GA,302041762,1,"Public, 2",1303,2744,4047,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1765,139986001,Southern Crescent Technical College,Griffin Campus,501 VARSITY RD,GRIFFIN,GA,30223,4,"Public, 1",1687,3211,4898,1,0,0,0,0,0,0,1,0,1,1,1,1,1
1775,140164001,Kennesaw State University,Main Campus,1000 CHASTAIN RD,KENNESAW,GA,301445591,1,"Public, 2",10781,14933,25714,0,0,12,0,1,6,0,0,0,1,1,1,1,2
1777,140234001,LaGrange College,LaGrange College,601 Broad Street,LaGrange,GA,302402999,2,"Private nonprofit, 2",443,521,964,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1789,140331001,Chattahoochee Technical College,Main Campus,980 S COBB DR,MARIETTA,GA,300603398,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1790,140331002,Chattahoochee Technical College,Paulding Campus,400 NATHAN DEAN BOULEVARD,DALLAS,GA,30132,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1791,140331003,Chattahoochee Technical College,Austell Campus,1578 VETERANS MEMORIAL HIGHWAY,AUSTELL,GA,30168,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1792,140331004,Chattahoochee Technical College,Mountain View Campus,2680 Gordy Parkway NE,Marietta,GA,30066,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1793,140331005,Chattahoochee Technical College,North Metro,5198 ROSS RD,ACWORTH,GA,30102,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1794,140331006,Chattahoochee Technical College,Appalachian Campus,100 CAMPUS DR,JASPER,GA,30143,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1795,140331007,Chattahoochee Technical College,Woodstock,8371 MAIN STREET,WOODSTOCK,GA,30188,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1796,140331008,Chattahoochee Technical College,Canton,1645 Bluffs Pkwy,Canton,GA,30144,4,"Public, 1",4304,5638,9942,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1802,140562001,Morehouse School of Medicine,MOREHOUSE SCHOOL OF MEDICINE,720 WESTVIEW DRIVE,ATLANTA,GA,303101495,2,"Private nonprofit, 2",147,251,398,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1810,140720001,Paine College,Paine College,1235 15TH ST,AUGUSTA,GA,309013182,2,"Private nonprofit, 2",424,424,848,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1811,140818001,Piedmont College,Main Campus,165 CENTRAL AVE,DEMOREST,GA,305350010,2,"Private nonprofit, 2",607,1513,2120,0,0,1,0,0,0,0,0,0,1,1,1,2,2
1816,140942002,Savannah Technical College,Liberty Campus,100 Technology Drive,Hinesville,GA,31313,4,"Public, 1",1793,2851,4644,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1818,140942006,Savannah Technical College,Effingham Satellite,2890 Hwy 21 South,Rincon,GA,31326,4,"Public, 1",1793,2851,4644,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1819,140951001,Savannah College of Art and Design,Main Campus - Savannah,342 BULL ST,SAVANNAH,GA,314023146,2,"Private nonprofit, 2",4042,7305,11347,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1825,141006001,South Georgia Technical College,Americus Campus,900 South Ga Tech Pkwy,AMERICUS,GA,31709,4,"Public, 1",879,779,1658,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1826,141006002,South Georgia Technical College,Crisp County Center,402 North Midway Road,Cordele,GA,31015,4,"Public, 1",879,779,1658,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1831,141185001,Toccoa Falls College,Main Campus,107 Kincaid Dr. Msc 777,TOCCOA FALLS,GA,30598,2,"Private nonprofit, 2",428,492,920,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1833,141255001,Wiregrass Georgia Technical College,Main Campus,4089 Val Tech Road,Valdosta,GA,316020928,4,"Public, 1",1214,2415,3629,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1834,141255003,Wiregrass Georgia Technical College,Coffee County Satellite Center,706 West Baker Highway,Douglas,GA,31533,4,"Public, 1",1214,2415,3629,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1836,141255007,Wiregrass Georgia Technical College,Ben Hill-Irwin,667 Perry House Road,Fitzgerald,GA,31750,4,"Public, 1",1214,2415,3629,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1839,141334001,University of West Georgia,Main Campus,1601 MAPLE ST,CARROLLTON,GA,301180001,1,"Public, 2",4328,7878,12206,0,0,0,0,0,0,0,1,0,1,1,1,1,2
1841,141361001,Young Harris College,Young Harris College,1 College Street,YOUNG HARRIS,GA,30582,2,"Private nonprofit, 2",517,701,1218,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1842,141486001,Chaminade University of Honolulu,Chaminade University of Honolulu,3140 WAIALAE AVE,HONOLULU,HI,968161578,2,"Private nonprofit, 2",954,1802,2756,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1843,141565001,University of Hawaii at Hilo,University of Hawaii at Hilo,200 W KAWILI ST,HILO,HI,967204091,1,"Public, 2",1546,2378,3924,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1844,141574001,University of Hawaii at Manoa,University of Hawaii at Manoa,2444 Dole St.,Honolulu,HI,96822,1,"Public, 2",8526,10981,19507,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1869,142115001,Boise State University,Main Campus,1910 UNIVERSITY DR,BOISE,ID,837251291,1,"Public, 2",10107,12120,22227,0,0,1,0,4,0,1,3,2,1,1,1,1,2
1876,142276001,Idaho State University,ISU -- Pocatello,"921 S. 8th Ave., Stop 8310",POCATELLO,ID,832098140,1,"Public, 2",6465,6964,13429,0,2,0,0,1,0,0,1,0,1,1,1,1,2
1877,142276002,Idaho State University,"ISU -- University Place, Idaho Falls",1776 Science Center Drive,Idaho Falls,ID,83401,1,"Public, 2",6465,6964,13429,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1878,142276003,Idaho State University,ISU -- Meridian,1311 E. Central Drive,Meridian,ID,83642,1,"Public, 2",6465,6964,13429,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1879,142285001,University of Idaho,Main Campus,875 Perimeter Dr MS 2285,MOSCOW,ID,838442285,1,"Public, 2",6220,5482,11702,0,3,20,0,0,7,0,3,6,1,1,1,1,2
1880,142285002,University of Idaho,Idaho Falls Center for Higher Education,1776 Science Center Drive,Idaho Falls,ID,83401,1,"Public, 2",6220,5482,11702,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1881,142285003,University of Idaho,Boise Center for Higher Education,322 East Front Street,Boise,ID,83702,1,"Public, 2",6220,5482,11702,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1882,142285004,University of Idaho,Coeur d'Alene Center for Higher Education,1000 West Hubbard Avenue,Coeur d'Alene,ID,83814,1,"Public, 2",6220,5482,11702,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1884,142328001,Lewis-Clark State College,Main Campus,500 8th Avenue,Lewiston,ID,835012698,1,"Public, 2",1694,2610,4304,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1888,142443001,North Idaho College,Main Campus,1000 W GARDEN AVENUE,COEUR D'ALENE,ID,838142199,4,"Public, 1",2285,3483,5768,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1894,142461001,Northwest Nazarene University,Main Campus,623 S. University Boulevard,Nampa,ID,836865897,2,"Private nonprofit, 2",936,1313,2249,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1896,142522001,Brigham Young University-Idaho,BYU-Idaho,525 S CENTER,Rexburg,ID,834601650,2,"Private nonprofit, 2",15488,21136,36624,0,7,0,0,10,0,0,0,0,1,1,1,2,2
1897,142559001,College of Southern Idaho,CSI Main Campus,315 Falls Ave.,TWIN FALLS,ID,833011238,4,"Public, 1",3057,5416,8473,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1905,143048001,School of the Art Institute of Chicago,Main Campus,37 S. Wabash Avenue,CHICAGO,IL,606033002,2,"Private nonprofit, 2",1044,2555,3599,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1906,143084001,Augustana College,Main Campus,639 38TH ST,ROCK ISLAND,IL,612012296,2,"Private nonprofit, 2",1048,1449,2497,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1911,143215001,Southwestern Illinois College,Belleville Campus,2500 Carlyle Ave,Belleville,IL,622215899,4,"Public, 1",4661,5884,10545,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1917,143279001,Black Hawk College,Moline Campus,6600 34TH AVE,MOLINE,IL,612655899,4,"Public, 1",2629,3678,6307,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1918,143279002,Black Hawk College,Kewanee Campus,26230 - Black hawk Road,Galva,IL,61434,4,"Public, 1",2629,3678,6307,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1922,143358001,Bradley University,Main Campus,1501 W BRADLEY AVE,PEORIA,IL,61625,2,"Private nonprofit, 2",2627,2673,5300,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1939,144005001,Chicago State University,Main Campus,9501 S. King Drive Suite ADM #313,CHICAGO,IL,606281598,1,"Public, 2",1578,3633,5211,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1941,144050001,University of Chicago,Main Campus,5801 S ELLIS AVE,CHICAGO,IL,60637,2,"Private nonprofit, 2",8756,6341,15097,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1959,144218001,City Colleges of Chicago-Wilbur Wright College,Main Campus,4300 N NARRAGANSETT,CHICAGO,IL,606341591,4,"Public, 1",4928,7218,12146,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1961,144281001,Columbia College-Chicago,Columbia College Chicago,600 SOUTH MICHIGAN,CHICAGO,IL,606051996,2,"Private nonprofit, 2",4115,5325,9440,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1963,144351001,Concordia University-Chicago,Main Campus,7400 AUGUSTA,RIVER FOREST,IL,603051499,2,"Private nonprofit, 2",1613,3425,5038,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1969,144740001,DePaul University,Main Campus - Lincoln Park Campus,2345 N. Sheffield,CHICAGO,IL,60614,2,"Private nonprofit, 2",11149,12650,23799,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1970,144740002,DePaul University,Loop Campus,1 E. Jackson,Chicago,IL,606042287,2,"Private nonprofit, 2",11149,12650,23799,0,1,0,0,7,0,0,11,0,1,1,1,2,2
1983,144892001,Eastern Illinois University,Main Campus,600 LINCOLN AVE,CHARLESTON,IL,61920,1,"Public, 2",3534,5379,8913,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1984,144944001,Elgin Community College,Spartan Drive Campus,1700 SPARTAN DR,ELGIN,IL,601237193,4,"Public, 1",4959,5970,10929,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1985,144962001,Elmhurst College,Main Campus,190 Prospect Avenue,Elmhurst,IL,601263096,2,"Private nonprofit, 2",1277,1980,3257,0,2,0,0,3,0,0,2,2,1,1,1,2,2
1989,145275001,Garrett-Evangelical Theological Seminary,Main Campus,2121 SHERIDAN RD,EVANSTON,IL,602012926,2,"Private nonprofit, 2",174,191,365,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1992,145354001,Graham Hospital School of Nursing,Graham Hospital School of Nursing,210 W WALNUT ST,CANTON,IL,615202497,5,"Private nonprofit, 1",6,76,82,0,0,0,0,0,0,0,0,0,1,1,1,2,1
1993,145372001,Greenville College,Main Campus,315 E. COLLEGE AVE.,GREENVILLE,IL,622460159,2,"Private nonprofit, 2",639,668,1307,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2001,145600001,University of Illinois at Chicago,University of Illinois at Chicago East Campus,601 S Morgan Street,Chicago,IL,60607,1,"Public, 2",12959,15010,27969,0,5,0,0,0,0,0,0,0,1,1,1,1,2
2002,145600002,University of Illinois at Chicago,UIC College of Medicine at Rockford,"1601 Parkview Avenue, Rockford, IL 61107",Rockford,IL,61107,1,"Public, 2",12959,15010,27969,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2003,145600003,University of Illinois at Chicago,UIC College of Medicine at Peoria,"One Illini Drive, Box 1649",Peoria,IL,61656,1,"Public, 2",12959,15010,27969,0,0,0,0,15,0,0,8,0,1,1,1,1,2
2007,145619001,Benedictine University,Main Campus,5700 COLLEGE RD,LISLE,IL,605320900,2,"Private nonprofit, 2",2302,4005,6307,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2013,145637001,University of Illinois at Urbana-Champaign,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 2",24869,20271,45140,0,12,17,1,13,6,0,5,31,1,1,1,1,2
2019,145691001,Illinois College,Main Campus,1101 W COLLEGE AVE,JACKSONVILLE,IL,626502299,2,"Private nonprofit, 2",478,487,965,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2020,145707001,Olney Central College,OLNEY CENTRAL COLLEGE,305 NORTH WEST ST,OLNEY,IL,62450,4,"Public, 1",537,861,1398,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2027,145813001,Illinois State University,Main Campus,201 S. School St. Hovey Hall rm 421 Campus Box 1000,NORMAL,IL,617901000,1,"Public, 2",9066,11549,20615,0,2,0,0,2,0,2,0,1,1,1,1,1,2
2031,146205001,John A Logan College,Main Campus,700 LOGAN COLLEGE ROAD,CARTERVILLE,IL,62918,4,"Public, 1",2821,3897,6718,0,1,0,0,0,0,0,0,0,1,1,1,1,1
2034,146296001,Joliet Junior College,Main Campus,1215 HOUBOLT RD,JOLIET,IL,60431,4,"Public, 1",7212,8564,15776,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2042,146366001,Kaskaskia College,Main Campus,27210 COLLEGE RD,CENTRALIA,IL,62801,4,"Public, 1",1995,2911,4906,0,0,0,1,0,0,0,0,0,1,1,1,1,1
2045,146427001,Knox College,Knox College,2 E SOUTH ST,GALESBURG,IL,614019999,2,"Private nonprofit, 2",586,813,1399,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2047,146472001,College of Lake County,Grayslake Campus,19351 W WASHINGTON ST.,GRAYSLAKE,IL,600301198,4,"Public, 1",6972,8438,15410,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2051,146490001,Lake Forest Graduate School of Management,Main Campus,1905 W. Field Court,LAKE FOREST,IL,60045,2,"Private nonprofit, 2",251,219,470,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2053,146506001,Lake Land College,Main Campus,5001 LAKE LAND BLVD,MATTOON,IL,61938,4,"Public, 1",2444,3149,5593,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2079,146719001,Loyola University Chicago,Lake Shore Campus,6427 North Sheridan Road,CHICAGO,IL,60626,2,"Private nonprofit, 2",5687,10215,15902,0,0,0,0,1,0,0,0,0,1,1,1,2,2
2080,146719002,Loyola University Chicago,Water Tower Campus,820 N. Michigan Avenue,Chicago,IL,606119810,2,"Private nonprofit, 2",5687,10215,15902,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2081,146719005,Loyola University Chicago,Medical Center,2160 South First Avenue,Maywood,IL,60153,2,"Private nonprofit, 2",5687,10215,15902,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2091,147004001,McHenry County College,Main Campus,8900 US HWY 14,CRYSTAL LAKE,IL,600122761,4,"Public, 1",3033,3534,6567,0,0,0,0,0,0,0,1,0,1,1,1,1,1
2093,147013001,McKendree University,Main Campus,701 COLLEGE RD,LEBANON,IL,622541299,2,"Private nonprofit, 2",1304,1827,3131,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2097,147244001,Millikin University,Main Campus,1184 W MAIN ST,DECATUR,IL,625222084,2,"Private nonprofit, 2",887,1303,2190,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2098,147341001,Monmouth College,Main Campus,700 E BROADWAY,MONMOUTH,IL,614621998,2,"Private nonprofit, 2",592,708,1300,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2113,147590001,National University of Health Sciences,Main Campus,200 E ROOSEVELT RD,LOMBARD,IL,601484583,2,"Private nonprofit, 2",293,412,705,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2116,147660001,North Central College,Main Campus,30 N BRAINARD ST,NAPERVILLE,IL,60540,2,"Private nonprofit, 2",1367,1676,3043,0,0,0,0,0,2,0,0,0,1,1,1,2,2
2117,147679001,North Park University,Main Campus,3225 W . Foster Avenue,Chicago,IL,606254895,2,"Private nonprofit, 2",1124,2061,3185,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2119,147703001,Northern Illinois University,Main Campus,1425 West Lincoln Highway,DeKalb,IL,601152854,1,"Public, 2",10169,10442,20611,0,1,3,2,11,45,0,15,15,1,1,1,1,2
2125,147767001,Northwestern University,Main Campus,633 CLARK ST,EVANSTON,IL,602081320,2,"Private nonprofit, 2",11445,10109,21554,0,0,0,0,0,0,0,1,0,1,1,1,2,2
2126,147767002,Northwestern University,Graduate,710 N. Lake Shore Drive,Chicago,IL,606113078,2,"Private nonprofit, 2",11445,10109,21554,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2130,147776001,Northeastern Illinois University,Northeastern Illinois University Main Campus,5500 N ST LOUIS AVE,CHICAGO,IL,606254699,1,"Public, 2",4429,5846,10275,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2134,147828001,Olivet Nazarene University,Olivet Nazarene University,One University Avenue,Bourbonnais,IL,609142271,2,"Private nonprofit, 2",1558,3303,4861,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2141,148007001,Prairie State College,Main Campus,202 South Halsted Street,CHICAGO HEIGHTS,IL,604118226,4,"Public, 1",1908,2666,4574,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2145,148177001,The Illinois Institute of Art-Chicago,The Illinois Institute of Art - Chicago,350 N ORLEANS ST STE 136-L,CHICAGO,IL,606541593,3,"Private for-profit, 2",811,996,1807,0,0,0,0,0,0,0,0,0,1,1,1,3,2
2146,148256001,Rend Lake College,Rend Lake College,468 N KEN GRAY PKY,INA,IL,628469740,4,"Public, 1",1190,1780,2970,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2148,148335001,Robert Morris University Illinois,ROBERT MORRIS UNIVERSITY ILLINOIS - MAIN CAMPUS,401 S STATE STREET,CHICAGO,IL,60605,2,"Private nonprofit, 2",1590,1615,3205,0,0,0,0,1,0,0,3,0,1,1,1,2,2
2158,148380001,Rock Valley College,Main Campus,3301 N MULFORD RD,ROCKFORD,IL,611145699,4,"Public, 1",3434,4303,7737,0,1,0,0,0,0,1,3,1,1,1,1,1,1
2168,148487001,Roosevelt University,Chicago Campus,430 S MICHIGAN AVE,CHICAGO,IL,606051394,2,"Private nonprofit, 2",2090,3979,6069,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2175,148593001,St John's College of Nursing,Main Campus,729 E. Carpenter St.,SPRINGFIELD,IL,62702,2,"Private nonprofit, 2",17,102,119,0,1,0,0,5,0,0,0,0,1,1,1,2,2
2176,148627001,Saint Xavier University,Chicago Campus,3700 W 103rd Street,Chicago,IL,606553110,2,"Private nonprofit, 2",1270,2803,4073,0,1,0,0,0,0,0,0,0,1,1,1,2,2
2178,148654001,University of Illinois at Springfield,University of Illinois at Springfield,One University Plaza,Springfield,IL,627949243,1,"Public, 2",2790,2641,5431,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2195,149028001,Saint Anthony College of Nursing,Main Campus,5658 E STATE ST,ROCKFORD,IL,611082468,2,"Private nonprofit, 2",33,276,309,0,0,0,0,1,0,0,0,0,1,1,1,2,2
2197,149222001,Southern Illinois University-Carbondale,Southern Illinois University Carbondale,Anthony Hall Room 116,Carbondale,IL,629014512,1,"Public, 2",9671,8318,17989,0,0,2,1,2,1,1,0,1,1,1,1,1,2
2198,149222002,Southern Illinois University-Carbondale,Southern Illinois University School of Medicine,801 N. Rutledge,Springfield,IL,62702,1,"Public, 2",9671,8318,17989,0,0,0,0,6,3,1,2,0,1,1,1,1,2
2199,149231001,Southern Illinois University-Edwardsville,Edwardsville Campus,IL State Rte 157,EDWARDSVILLE,IL,620261001,1,"Public, 2",6406,7566,13972,0,0,0,0,2,1,0,0,0,1,1,1,1,2
2208,149505001,Trinity Christian College,Trinity Christian College,6601 W COLLEGE DR,PALOS HEIGHTS,IL,604630929,2,"Private nonprofit, 2",475,931,1406,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2212,149514001,Trinity International University-Illinois,Deerfield Campus,2065 HALF DAY RD,DEERFIELD,IL,600151283,2,"Private nonprofit, 2",1410,792,2202,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2214,149532001,Triton College,Main Campus,2000 5th Ave.,River Grove,IL,601711995,4,"Public, 1",5283,6294,11577,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2215,149532002,Triton College,Triton Community College Nuevos Horizontes Facility,1708 Main Street,Melrose Park,IL,60160,4,"Public, 1",5283,6294,11577,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2220,149772001,Western Illinois University,Macomb Campus,1 UNIVERSITY CIRCLE,MACOMB,IL,61455,1,"Public, 2",5612,5846,11458,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2221,149772002,Western Illinois University,Moline Campus,3300 River Drive,Moline,IL,612655830,1,"Public, 2",5612,5846,11458,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2222,149781001,Wheaton College,Main Campus,501 E COLLEGE AVE,WHEATON,IL,601875593,2,"Private nonprofit, 2",1376,1538,2914,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2229,150136001,Ball State University,Main Campus,2000 UNIVERSITY AVE,MUNCIE,IN,47306,1,"Public, 2",8117,12538,20655,0,0,8,0,0,0,0,0,3,1,1,1,1,2
2231,150145001,Bethel College-Indiana,Main Campus,1001 Bethel Circle,MISHAWAKA,IN,46545,2,"Private nonprofit, 2",643,1149,1792,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2232,150163001,Butler University,Butler University,4600 SUNSET AVE,INDIANAPOLIS,IN,46208,2,"Private nonprofit, 2",1971,2877,4848,0,1,5,0,0,3,0,0,5,1,1,1,2,2
2238,150400001,DePauw University,Main Campus,313 S LOCUST ST,GREENCASTLE,IN,461351772,2,"Private nonprofit, 2",1014,1201,2215,0,3,0,0,4,2,0,0,1,1,1,1,2,2
2242,150534001,University of Evansville,Main Campus,1800 LINCOLN AVE,EVANSVILLE,IN,47722,2,"Private nonprofit, 2",1121,1446,2567,0,0,0,0,0,0,0,0,0,1,1,1,2,2
2244,150604001,Franklin College,Franklin College,101Branigin Blvd.,FRANKLIN,IN,461312598,2,"Private nonprofit, 2",499,576,1075,0,0,0,0,0,0,0,0,0,1,1,1,2,2
